user_id,book_id
9,8
34,483
70,498
76,4250
94,1167
29,3508
29,4475
29,323
29,131
29,2304
105,233
124,5
94,4475
94,5704
137,362
94,10
94,94
29,709
29,4359
167,177
167,76
167,736
185,4421
185,297
184,323
210,614
194,7231
194,1624
194,301
185,48
116,1365
116,3106
116,6173
116,4684
116,3404
242,28
245,1167
248,65
247,7290
162,1186
162,13
162,87
332,2798
270,4973
319,1999
332,5437
301,94
301,317
418,42
418,483
401,13
439,121
453,7251
245,8
449,177
463,173
458,1365
475,2846
495,284
490,121
506,5540
506,1887
506,1186
506,456
506,4244
506,839
506,3364
506,138
511,323
516,3321
506,1704
511,65
143,7
537,94
550,8923
504,219
554,405
543,1214
543,113
543,341
475,130
564,233
574,736
564,6729
564,55
580,427
513,2098
513,233
513,354
513,15
529,1186
610,233
605,87
615,961
632,1365
632,4221
635,94
639,287
651,706
654,8
654,4
513,1411
448,961
448,10
554,55
554,113
488,8633
488,287
497,65
497,297
643,121
663,94
446,270
718,1910
741,264
759,709
770,94
756,1878
142,7135
801,113
811,65
811,4983
811,173
829,131
497,48
533,94
9,1582
841,3508
839,3600
871,287
866,180
871,485
871,4104
870,55
870,699
870,706
870,972
914,65
914,297
916,405
639,94
900,489
900,1679
900,819
900,3853
900,7231
900,2732
871,1584
448,63
448,95
448,177
816,213
816,736
816,255
1024,2380
1002,287
1007,13
585,178
954,284
1068,225
1033,405
957,1214
991,984
991,3459
143,162
1074,547
1074,1204
1007,155
1007,646
1007,958
1061,103
1061,2499
1061,255
1061,113
1047,121
976,113
1007,171
1111,10
1111,493
7,10
7,233
995,485
1139,87
1127,284
1135,265
1162,94
1168,83
1046,887
1135,113
1135,1041
1135,3122
1007,289
1162,984
1178,3321
1178,592
638,48
1178,129
1254,233
1254,178
1253,2860
1253,287
1102,3613
1135,6999
1325,94
1326,233
525,323
533,9754
1321,287
533,405
533,872
257,1214
765,592
765,7079
765,3590
1254,1393
1291,736
207,704
207,614
383,113
603,2304
1254,483
1430,1161
1430,180
1430,3085
1444,597
1437,255
1453,5
1459,410
1434,233
1434,1106
1465,1041
1403,1797
1403,94
804,229
1450,225
1450,1161
636,4942
1504,1622
1551,121
1551,287
1560,181
1560,180
1528,87
1509,8
1509,13
1509,121
1544,162
1606,94
1608,410
1619,233
1626,233
1626,94
1630,162
1630,65
1582,10
1582,55
1537,1364
1537,301
1537,959
1537,2297
1672,485
1681,3763
638,65
1526,855
1526,270
1689,233
1722,113
1727,233
1743,55
1743,8
1663,297
1734,113
1037,181
1761,736
578,177
578,225
1723,3904
1774,71
1649,32
774,3346
774,171
1727,66
1657,3002
1582,177
1657,485
1058,323
1582,5
1189,3472
1740,2578
1508,1783
1508,1073
1508,138
1835,113
1835,718
1846,6524
1705,255
1705,479
1847,71
1873,87
1873,10
1889,7
1889,233
1889,94
1514,121
1866,461
1434,121
1897,7309
1897,4348
1935,287
1926,1114
1926,7997
1937,233
1702,341
1509,55
1926,387
1913,255
1913,13
1549,3106
1549,1365
215,7734
1926,14
1926,13
1926,401
1926,395
1926,287
1926,32
1926,225
1926,233
1926,736
1926,4592
1497,6787
1926,597
1926,284
751,270
1723,903
1514,2464
1890,3613
1612,485
1399,284
1935,5
1935,8
1935,65
718,3388
718,6173
718,354
718,13
718,297
2055,3085
1977,113
594,28
1145,718
2074,1031
1549,410
1230,65
1230,55
1913,55
1913,94
1690,233
2061,7429
1236,354
2123,341
2125,493
1283,961
1726,1486
412,597
318,8
318,1367
318,270
318,113
2156,233
1744,371
1860,287
1942,233
2210,8
2185,9623
2084,498
1497,48
2080,264
2080,130
2080,178
2080,180
2080,265
2080,289
2080,576
750,357
1172,121
2254,7309
2254,1280
2254,1184
2254,255
2254,9623
2254,3590
2080,5330
2080,4221
2080,8212
2080,9754
2080,1954
2080,5425
2080,1555
2227,1624
2283,55
2270,1584
2130,4
2130,405
2130,763
2130,4421
2130,233
2130,4939
2291,718
2291,233
1514,177
1927,83
1927,478
1927,298
176,19
2080,1314
2080,6842
2334,4
2334,129
2254,672
2254,1624
2254,225
2254,1598
2254,361
2338,357
2338,709
1537,977
1537,9766
2220,736
2374,1411
2182,3256
2356,4
2356,65
2186,2584
2370,1797
2397,4996
2397,13
2397,405
2384,225
1942,65
2162,113
755,1084
898,792
2438,55
1474,1106
2454,131
2438,121
2466,28
2466,94
2466,361
1250,7063
1060,2809
1060,4605
1060,887
919,718
1060,4942
919,113
1060,592
1847,468
1847,362
2502,597
2502,1214
2491,2578
2502,113
2502,219
1173,87
2178,597
2178,113
2178,297
2178,94
1173,287
1173,225
2540,4221
1608,265
2565,800
1108,323
2361,94
1068,1797
1069,1642
2589,289
2565,2578
2476,219
2598,646
2598,225
968,1641
2591,7
2591,1953
2622,14
2557,15
1979,410
2615,10
2470,233
2337,161
2337,230
2337,410
2322,219
2662,113
977,704
977,225
2662,362
2662,1106
2662,493
2292,347
2292,641
2292,292
2292,602
2292,542
1650,734
2667,1186
2667,121
2667,323
2667,271
2667,672
2667,997
1723,6732
1108,287
1108,2464
1681,2499
490,323
2713,121
2713,65
2713,321
2728,65
2740,287
2692,160
362,323
2748,287
2748,255
2748,8
2748,65
2748,58
2748,485
1903,8
1903,178
1046,1509
2619,3964
1727,1435
2319,95
2796,323
2796,121
2796,113
116,4332
2825,3472
2827,284
1823,1642
2800,2846
2800,778
2162,4
898,71
2397,2004
2260,959
2844,87
2860,233
2747,83
2747,2304
2747,138
2747,3387
2737,233
2737,177
2737,1582
912,284
912,395
2070,5783
2859,233
2569,3106
1095,171
1095,471
2859,7496
2888,2314
2827,8212
1254,7496
954,173
2709,233
2888,233
2888,483
1153,8
2816,178
2438,1184
2438,1367
2438,371
2438,3127
2438,297
2944,161
2624,1073
818,131
848,233
2709,1679
2709,5853
2709,984
2709,1167
2474,961
2965,5
2965,8
2965,29
2951,55
2951,1204
1270,2464
2820,219
1411,233
1845,113
1845,471
2438,2098
774,230
2438,1641
2951,103
919,2314
2437,2584
1374,1999
2951,529
2853,65
2268,177
2953,113
3024,5
2939,264
3023,879
3023,113
3023,371
3023,547
1102,961
2922,284
3035,76
1270,1797
70,560
2963,94
2652,10
2652,1084
2652,121
2437,3505
2162,3808
1845,8
1845,65
1412,65
3061,14
3061,113
759,646
759,718
952,289
2928,121
2995,94
2928,1214
28,7496
28,265
3035,7
3081,7135
3082,233
2955,1681
3088,233
3029,48
3079,879
1937,178
3087,1465
3085,287
3085,8
3085,89
3100,94
2809,3133
1968,718
2294,19
2294,155
3110,113
26,2257
3076,3613
2985,5
3117,4016
2319,13
3107,121
3085,65
3079,94
3049,387
3049,213
3049,3133
3049,3600
3049,371
3049,718
3049,972
3115,405
3115,65
3115,2098
2768,233
3086,113
3086,287
1327,233
2747,2781
2747,103
2967,323
2070,1999
2962,483
2070,4810
2070,4298
2070,1214
3147,592
1866,233
142,233
3061,1584
3115,718
3123,130
3082,2236
2478,3523
2478,736
2478,1999
2478,1184
3079,10
3079,121
3175,219
1917,3388
2955,3907
2709,872
2875,173
2875,3973
2875,129
1444,646
3203,362
3029,6535
2985,5330
2633,80
1763,233
2361,233
2756,3388
3214,284
2748,154
3239,287
2738,230
3254,255
1681,493
1285,3519
3123,5627
3123,1681
1092,233
1092,94
3168,413
1515,87
2282,323
2576,362
3269,354
3269,160
3269,287
3270,704
3272,959
3272,1783
3272,887
3272,1454
2748,177
1159,233
1159,1214
3290,10
3290,76
3290,171
3293,5358
3293,160
3293,173
3293,3255
3293,887
3293,177
3293,87
3293,323
3293,225
3293,32
3293,718
3293,265
3293,3400
3293,130
3277,7
3277,87
813,233
469,233
3123,1367
3265,887
887,1641
2809,8289
3327,121
295,959
295,181
295,559
295,664
3164,1949
3164,1785
3164,782
3345,248
3345,483
3164,353
2080,3106
3301,121
3301,225
3301,1365
3321,83
3321,160
1648,287
3164,8440
3164,8704
3321,28
3293,2798
3293,977
361,8
3270,403
3115,3808
3115,10
1497,1999
2260,323
2260,180
2260,1015
3363,76
3363,8
3363,131
3363,138
3363,171
3363,10
3363,405
3023,819
837,1477
837,2952
3055,323
3055,468
3055,121
3055,4634
3055,113
907,7952
1032,9549
3383,233
989,94
2371,121
2371,13
3055,3321
3055,4
3055,10
2460,2584
3423,1605
3269,2004
3221,4348
3430,1521
3430,225
3430,5
3430,13
3430,94
3221,94
3359,461
3126,95
3126,83
636,287
703,2314
3115,4939
3479,371
2122,32
2122,225
2019,1465
2019,4983
3490,2366
3490,10
3474,48
3492,284
2437,2004
3176,354
2389,63
2389,76
3495,2177
3495,8565
2699,3023
2437,410
3409,3508
3462,1367
1465,410
3546,1041
3554,284
3471,233
1607,1887
1607,353
1607,559
1607,646
1607,879
109,65
109,1797
109,233
109,181
109,3508
109,984
109,2314
109,483
109,395
1845,559
3169,5
3422,341
3422,177
1470,66
3569,10
3320,94
3320,4
2454,1073
3536,113
3536,94
3126,63
3126,819
2713,233
3582,934
3582,284
3582,55
3126,961
3176,3878
3176,410
3582,1364
2042,94
2042,233
2042,181
3410,2024
2995,76
3597,3255
703,162
3546,3210
3546,6442
3546,2004
3619,483
3524,1186
3597,489
740,13
1514,597
2498,3508
3075,4298
2554,498
2554,485
648,427
3636,7392
3636,395
3636,7
3636,1364
3636,138
3636,95
3636,3080
3636,3451
3545,559
1025,89
3655,65
3661,560
3661,1184
3661,959
783,271
3254,233
3693,255
3695,233
3695,89
3692,592
3351,83
3351,65
3351,15
3351,225
3351,177
3351,103
3351,93
1053,410
3705,7826
3713,19
3713,155
837,181
3672,887
3672,189
3672,14
1579,972
3351,592
3351,672
3351,483
3126,59
3717,493
3747,219
3747,297
3747,3451
3747,113
2985,353
952,1314
987,899
3793,65
3802,94
3428,113
3126,171
1398,287
3713,71
3713,265
3713,4592
3713,1878
3713,257
670,233
3363,58
3826,1526
3826,736
3713,390
957,7826
3313,879
3853,13
3815,5783
3857,131
3857,83
3857,361
3857,485
3857,297
2846,489
3812,14
3597,297
1519,485
1519,887
994,65
3566,1681
3891,233
3306,4942
3888,1664
3916,4
3269,55
741,130
3381,405
3536,410
3536,83
3536,361
3713,3642
3845,265
3845,181
3845,1365
3845,76
3845,138
2928,395
3944,3508
3951,770
3951,451
3951,879
3951,3523
3951,1064
3959,770
1722,1518
2282,76
3966,3388
3966,66
3713,357
3959,14
3846,113
3846,4250
2879,10
1600,1088
2569,65
774,483
774,709
2554,6607
3628,3878
3628,641
3628,602
3628,292
3628,347
3628,332
3628,413
1508,3642
3628,14
3989,171
3989,42
1508,58
1508,361
1508,2403
1508,485
4008,1664
4008,701
4008,180
3738,1064
3738,468
79,233
3212,468
4013,1364
2389,2403
3301,113
1070,560
850,181
1070,597
1070,83
1070,468
4033,13
295,1214
295,13
295,113
295,560
295,498
295,160
3711,1411
4057,233
3381,4301
3381,1642
4057,287
4059,478
3877,76
3877,10
3877,171
3877,230
3877,1771
3877,4870
3123,213
4057,977
4072,2403
4072,63
4072,230
4072,76
4022,498
36,718
4080,879
3164,5907
4078,3590
3428,405
3953,772
3953,255
3953,7668
3953,3907
3953,3321
3953,97
3953,984
3953,87
4049,233
4049,63
4076,265
4076,3613
4076,734
1176,13
4029,2286
295,1664
295,387
295,171
295,3508
1555,4504
4124,405
4124,284
4147,65
4147,173
4147,284
4147,323
4124,233
295,129
2070,772
4072,5
3626,1642
3626,3387
3626,8
3626,177
8,2177
8,3930
8,9304
8,8792
8,498
8,1357
8,4004
3139,162
3711,410
4024,8
3193,14
3193,5
3193,32
2687,2374
4027,1041
4027,485
2662,233
2728,1949
573,3085
905,94
1512,1509
676,121
3713,485
457,4
457,8
457,65
457,10
457,233
457,55
457,28
457,87
457,15
457,357
457,5
457,58
457,14
457,42
457,94
4072,160
3953,113
3953,103
3953,297
4226,233
1102,289
1537,819
1537,2366
4227,9642
4227,94
4190,7783
1537,1280
4238,287
4238,178
4205,94
4228,154
2070,529
1287,178
4221,55
4221,177
3340,89
4205,4250
1800,1214
1800,3808
3784,94
1800,395
1800,317
1800,1041
1800,1783
1800,961
1800,2355
1800,498
1800,1167
3340,248
4277,6787
4277,872
4277,83
4277,498
4277,160
4277,819
4277,1679
634,646
634,58
634,782
634,28
634,248
634,125
3928,181
2186,1365
1287,265
4283,4634
1712,2197
4324,646
3737,131
1579,287
952,19
952,155
952,161
1845,63
1845,451
4307,1084
4362,403
4362,129
4190,265
4190,736
4248,265
2070,3387
2117,113
4384,58
4376,1999
4376,6787
4153,3400
440,233
3953,121
4382,160
4115,4939
248,782
4072,131
4072,229
4072,518
4072,961
4072,529
1846,493
4190,13
4190,225
4450,103
4456,29
4466,530
4152,177
4152,498
2070,718
4456,1204
1609,113
4476,8
4326,3613
4480,94
4480,130
4480,1214
2117,362
1659,4004
1659,3400
4486,4
4486,154
4294,3002
4226,87
3259,177
589,4942
928,718
3126,257
2611,5386
2063,181
2063,8838
3340,3346
4076,485
3707,595
4545,650
928,121
928,32
928,113
928,55
928,1999
928,181
928,2314
928,3255
928,456
4528,560
4528,160
4528,83
4528,1477
4076,255
4542,3954
4567,483
4567,2197
928,3763
1579,3400
4190,2374
4567,887
4567,162
4567,121
4528,125
4528,736
4592,94
4592,180
4347,87
4490,255
740,1088
4314,701
4622,265
4314,1999
4634,4
4604,7496
4622,1999
4622,55
4636,1641
1257,5
1257,28
1257,32
1257,14
1257,225
1257,405
1257,483
1257,121
1257,94
2819,225
4653,879
3575,597
3575,772
4294,444
4294,113
4294,270
4294,826
4294,498
4294,66
4294,559
4294,961
4294,131
4294,229
4294,590
4294,1477
4294,103
4294,1393
4294,204
4294,1088
4294,177
4294,83
4294,28
4294,1064
4294,1214
4294,3878
4294,284
4294,233
2672,736
4542,181
4653,736
4653,855
4653,48
4379,113
4379,177
4379,1878
4379,1664
4379,181
4379,131
4379,3472
4379,48
4379,248
4379,14
4379,3400
4379,89
4408,87
4229,5
4687,413
4687,6842
4687,317
4687,171
253,289
4687,76
4687,6190
4379,479
4210,87
4581,485
4581,264
4528,7172
4693,493
4693,1106
927,10
4693,89
4693,471
4693,590
4693,8
4693,76
4693,255
4693,903
4693,829
4693,87
4693,997
4022,225
4022,131
4551,94
2685,284
2540,1706
3462,177
3462,14
1857,181
4765,401
709,763
4617,1365
4639,468
4639,233
4567,2366
4352,233
3288,1320
4272,10
4272,76
4272,171
4272,230
4272,471
4272,451
4619,451
4619,8
4777,8
3872,270
1650,736
3316,181
4076,63
2854,4983
4830,8471
4815,233
4778,3954
4839,225
4619,1435
4849,28
4736,1320
4876,10
4880,131
4880,55
4617,4
4617,7
4029,592
4553,95
3566,233
4804,1031
4921,213
4621,121
4621,66
3568,87
3568,233
4617,387
2858,265
2858,173
2858,1135
2858,1214
3443,13
3443,125
3504,8
3504,94
4586,233
1609,233
4604,5358
2313,1365
839,2240
4278,171
4716,2709
4505,287
4505,323
4505,178
1579,270
3123,1088
4840,65
4298,395
4298,95
2569,7416
4940,66
1258,1167
2294,763
4969,94
4969,113
695,2004
4823,736
4975,113
3603,173
4913,121
4876,19
4876,121
4999,3964
5020,233
4277,485
5029,1106
5029,1357
5029,255
5029,287
3079,1135
3566,2798
3566,292
3566,602
3566,641
3713,1518
3177,284
4141,3639
5050,287
3620,1783
2000,468
5068,4
4704,1073
818,87
4196,10
5086,83
5086,10
594,2257
594,1435
3966,1364
4803,410
4984,1526
4984,529
4984,83
4984,4
29,809
29,178
29,934
29,32
29,730
29,1642
29,618
29,121
29,65
29,87
29,1364
895,1314
82,6530
1969,6530
4474,483
5127,9623
5123,479
4553,1114
4553,3346
5134,2781
5134,1106
4490,4810
5134,709
5134,483
5134,131
5134,225
4435,233
5134,959
5134,95
5134,597
5134,1204
5134,293
5134,71
5134,390
5134,2172
5134,1364
5134,977
5134,595
5134,1327
5134,718
5134,289
3443,646
950,6195
4213,2821
4250,4
5134,826
2015,362
4364,5
5120,341
2361,1135
3634,560
5175,87
5175,4
5175,13
1650,10
1650,71
1650,97
1650,1204
4988,233
5098,8
5169,681
5192,471
3381,65
5150,5
3966,233
5246,94
5246,8633
5251,3255
1829,7496
1553,984
4658,289
4555,219
4555,113
4555,323
9,736
9,701
9,3210
238,94
4586,387
4586,103
4586,225
4555,173
4555,3127
5035,7
5304,233
5291,9754
5098,1314
4940,171
511,113
511,89
511,704
511,597
511,3106
511,80
1605,94
5314,2286
4943,464
5311,94
5336,1135
4407,3255
559,94
4545,5
4545,161
4545,155
4545,19
4545,138
4072,2190
2809,3023
5156,323
5156,121
838,984
709,718
5356,94
5356,233
3566,7496
3183,4503
3697,28
5362,3590
260,14
260,65
260,94
4710,160
694,637
5339,405
4500,233
3025,66
4326,651
4326,935
4326,375
4528,213
4528,614
594,2464
594,8625
594,7079
5156,94
4271,5783
2267,233
5156,1980
1702,6909
194,1664
194,3590
26,2314
246,177
1829,1681
887,225
1722,3127
1722,4582
1722,401
4689,362
4177,3076
5412,2931
5397,5915
5422,3387
5422,6190
5422,5907
5422,4004
5422,173
5381,270
5424,97
5175,6863
5175,129
4979,230
2232,7496
4684,792
768,5
768,10
2694,95
4542,934
4542,872
4542,5678
4542,270
4542,595
1046,961
3176,2374
5438,323
5120,935
5120,6063
5120,2197
5426,819
5426,1120
5426,6787
5426,14
5462,1967
5462,233
5462,5404
5462,529
5462,7309
3532,121
2284,1435
4352,8
4352,58
4352,65
4352,255
2517,1114
5438,7
2662,1783
5489,899
1652,879
3,4582
4392,14
4196,103
2187,265
4371,83
4371,65
5522,265
5522,2960
5522,4016
5522,6896
5522,130
5522,10
5522,178
5522,1641
1829,7396
3617,3387
4371,3676
4371,3613
1235,8
3708,233
2361,10
2361,76
2361,230
4925,3580
5534,2464
5544,2875
5559,113
5499,95
5569,113
4975,1099
5011,3954
5576,2024
5163,10
5163,233
4074,113
954,3321
954,121
5303,71
5588,8
5578,3388
4105,230
5598,94
3236,3080
5610,233
2260,405
536,637
4954,879
5549,284
4252,265
954,461
5544,4
5544,13
5544,706
5544,699
5544,1681
5544,3613
5544,87
59,162
59,6326
937,471
954,6788
4438,590
3676,3079
3676,1084
3854,94
5118,2374
1095,233
5622,718
5635,270
989,1435
5281,1465
5628,1411
286,162
5638,94
5638,4
3071,48
2990,37
2990,997
2990,2355
2990,879
1873,94
2990,493
2990,387
2990,7833
2990,59
194,483
3617,826
5156,489
4409,87
5624,2190
5624,129
1763,94
4545,233
484,2732
484,5783
484,173
4382,32
3561,138
5470,55
5470,28
5539,9778
5258,3346
5258,1114
1591,8
1591,95
5672,65
3636,1526
5684,736
5156,903
5688,1135
5688,959
2846,2339
1528,1184
1253,3133
1253,177
5684,265
5687,233
3329,121
3329,181
9,233
1036,28
1036,121
2373,233
2373,7135
3200,13
5691,3451
9,230
987,3400
3283,4503
4224,323
4224,704
2089,233
5712,8
5712,121
1650,103
1650,2765
1650,1210
1650,1112
5303,3772
1650,1357
1650,471
5699,427
3462,2177
2991,4016
5712,87
2373,87
2373,10
2373,28
2373,94
2373,177
2373,230
2373,461
5712,1365
2373,4016
4710,103
4710,493
4710,95
4710,58
2613,602
2613,641
2613,37
5674,7668
5674,8289
663,32
663,121
663,66
663,15
663,284
663,323
5687,94
427,809
2478,3505
3444,984
7,3552
7,225
4371,1518
4371,401
3183,80
3183,255
3183,89
5712,76
5712,265
4371,113
5743,3252
5743,769
5743,1207
5743,2355
5743,497
5743,293
5743,706
5743,6063
5743,2370
5743,8558
5743,5437
5743,321
5743,997
1514,4584
1514,485
5684,935
2865,55
850,485
2227,93
3183,121
5757,1477
4586,230
399,2464
614,55
3183,2781
3431,233
5751,4582
3332,4219
1845,213
2045,1509
2260,1073
2576,3400
2613,13
5228,65
1690,292
1690,332
1690,542
1690,602
1690,641
1281,606
2331,323
5786,7
5786,28
5786,76
5786,121
5786,37
5786,71
5786,103
5786,83
5786,42
5786,19
646,10
5402,7055
403,121
3183,872
2061,65
4292,2875
4292,3519
2257,87
4371,93
5348,28
5372,530
5802,265
5251,410
4843,233
4063,4435
4063,597
3035,178
275,7496
5809,154
5817,233
5479,94
4984,1785
5794,264
5794,1041
575,1135
5090,3613
3393,3642
5831,121
5831,113
5831,1521
5831,2380
5831,2172
5831,2098
3061,606
552,2314
552,2798
1178,287
1777,113
5686,4183
5706,3364
1253,3505
3889,265
3889,131
5706,1135
5706,1214
5850,233
4617,173
5689,347
5689,542
4292,287
1609,95
552,7
552,162
552,284
265,8
265,5
265,13
265,58
3183,672
5859,121
5859,13
5860,2584
5860,3934
5871,5
3340,829
2030,28
4382,28
2030,55
2030,181
4890,479
4259,265
5831,357
4259,42
4259,4
5831,1999
150,3590
2432,1214
2432,1435
4643,1214
552,4973
4292,42
330,3519
5846,10
5570,8
5570,13
4486,65
5674,3954
2088,113
4072,265
4072,2026
3857,1509
210,6195
5912,94
1726,5
1726,13
1726,28
1726,32
5911,113
5862,7909
5917,1073
1553,701
5912,162
5917,97
646,15
5859,178
5928,1624
3565,984
2960,5425
2960,5358
2960,4716
2960,2798
5945,130
5945,2809
4965,4196
5945,4
5945,8
718,6787
5928,718
5928,709
5928,2339
5928,3388
5928,4003
5928,171
5928,230
5928,471
5928,451
5928,498
5831,32
5928,3364
2960,483
5955,89
3854,2732
3854,4684
3854,6173
5949,672
5971,233
5971,255
5973,264
5752,13
5975,1434
5975,899
5967,65
2928,265
5323,8704
3832,1679
4700,595
5314,855
5314,401
5314,8
4637,3126
4637,7496
5906,233
3832,1605
3832,547
3832,2781
3832,2860
3832,650
3832,819
3200,410
4374,403
2624,94
4367,597
5737,498
4356,961
6002,4810
2044,233
104,7
4637,162
5035,8360
3272,181
1708,121
3422,395
1708,2177
1708,782
1708,959
1708,531
1708,1365
1708,456
1708,935
812,94
6015,13
423,559
423,76
423,270
423,959
423,451
4502,7
5791,1099
2070,3202
5831,1031
542,8565
1708,2584
4238,354
5672,371
4074,129
4670,233
944,233
5468,13
5468,37
5468,347
5468,93
5402,265
4980,155
4980,161
4980,6768
5281,354
5946,2190
6046,606
6046,371
6046,1161
6046,55
6046,483
6046,301
6046,65
4298,83
5737,264
4890,225
4890,395
6046,14
2284,284
2284,65
159,248
159,353
159,530
159,5540
159,29
1515,265
6042,94
3424,2339
2044,718
2044,959
1933,3202
837,3377
4110,233
6094,171
6094,76
5737,66
1729,2026
1729,287
2399,2004
2687,405
2687,1031
1532,718
79,2304
5982,3321
5982,1364
5982,597
6046,718
5982,6787
5982,485
5698,718
4659,8
4938,94
6102,293
6102,6337
6102,872
6102,1084
6102,130
6102,730
5952,2860
4308,181
6022,255
6022,94
6022,354
6102,255
